238.841,685.834,-1,0,1,1,10
1193.03,928.864,-1,0,1,1,10
824.932,428.777,-1,0,1,1,10
394.235,583.514,-1,0,1,1,10
1156.21,525.452,-1,0,1,1,10
1446.5,841.445,-1,0,1,1,10
456.608,625.328,-1,0,1,1,10
1336.48,946.517,-1,0,1,1,10
351.729,946.517,-1,0,1,1,10
1304.83,940.864,-1,0,1,1,10
450.038,647.608,-1,0,1,1,10
575.954,730.463,-1,0,1,1,10
822.432,940.716,-1,0,1,1,10
1446.5,923.225,-1,0,1,1,10
1217.33,946.517,-1,0,1,1,10
878.681,922.399,-1,0,1,1,10
180.779,790.284,-1,0,1,1,10
233.309,862.169,-1,0,1,1,10
435.428,682.214,-1,0,1,1,10
1343.43,946.517,-1,0,1,1,10
798.081,923.157,-1,0,1,1,10
1364.87,946.517,-1,0,1,1,10
516.942,582.653,-1,0,1,1,10
276.48,728.312,-1,0,1,1,10
685.045,483.469,-1,0,1,1,10
283.953,753.979,-1,0,1,1,10
933.29,910.949,-1,0,1,1,10
263.89,847.86,-1,0,1,1,10
308.223,786.894,-1,0,1,1,10
152.844,838.107,-1,0,1,1,10
1427.21,925.073,-1,0,1,1,10
509.207,599.856,-1,0,1,1,10
127.074,853.902,-1,0,1,1,10
275.848,759.128,-1,0,1,1,10
301.186,890.368,-1,0,1,1,10
315.46,865.549,-1,0,1,1,10
153.796,727.103,-1,0,1,1,10
1234.58,928.938,-1,0,1,1,10
194.464,712.983,-1,0,1,1,10
692.006,439.724,-1,0,1,1,10
1121.55,412.536,-1,0,1,1,10
1400.68,946.517,-1,0,1,1,10
1301.26,935.128,-1,0,1,1,10
634.116,541.818,-1,0,1,1,10
203.728,727.46,-1,0,1,1,10
669.159,922.886,-1,0,1,1,10
292.633,781.352,-1,0,1,1,10
474.149,845.458,-1,0,1,1,10
292.756,891.668,-1,0,1,1,10
321.819,797.248,-1,0,1,1,10
316.455,898.41,-1,0,1,1,10
1357.35,946.517,-1,0,1,1,10
1049.34,923.058,-1,0,1,1,10
227.545,870.469,-1,0,1,1,10
133.318,737.855,-1,0,1,1,10
258.018,733.753,-1,0,1,1,10
1283.89,940.885,-1,0,1,1,10
274.084,710.78,-1,0,1,1,10
1318.74,929.4,-1,0,1,1,10
1038.99,916.941,-1,0,1,1,10
